Project Name,Title,Preview Image,Overlay Image,Overlay Video,Short Description,Long Description,Tools,Project Type,Categories,Website,GitHub,YouTube,Gallery,Embed,Case Study,Featured
Satin Eights,Satin Eights,assets/screencap/portfolio-img-satin_eights.jpg,assets/preview/portfolio-preview-placeholder.png,assets/screencap/portfolio-vid-satin_eights.webm,Website for a production company,Website for a production company.,"Squarespace, CSS, JS",client,creative portfolios,none,none,https://www.youtube.com/embed/pfog5jUnmVY?si=s4aR6BzWh9pj_Oe7&controls=0,none,none,none,FALSE
Tom Design,Tom Design,assets/screencap/portfolio-img-tom_design.jpg,assets/preview/portfolio-preview-placeholder.png,none,Interactive design portfolio,Interactive design portfolio built with Three.js,React,personal,creative portfolios,none,none,https://www.youtube.com/embed/mSsKqg90HWU?si=qIPzIl4d_-S0uDdB&controls=0,none,https://camilapaleno.github.io/tom-sketch/,none,FALSE
My Photography,My Photography,assets/screencap/portfolio-img-photo_home.jpg,assets/preview/portfolio-preview-placeholder.png,none,React website for my photography,React website for my photography,React,personal,creative portfolios,none,none,https://www.youtube.com/embed/kGuaLhkI1IY?si=FlsZS5SjP2ZCy2pH&controls=0,none,none,none,FALSE
Devon Donis,Devon Donis,assets/screencap/portfolio-img-devon_donis.jpg,assets/preview/portfolio-preview-placeholder.png,none,Portfolio for a videographer & filmmaker,A portfolio made for videographer Devon Donis with HTML & CSS.,"HTML, CSS",client,creative portfolios,none,none,https://www.youtube.com/embed/gPbf9q2PUEk?si=Wdfi8JgN2_QeE8hS&controls=0,none,https://devondonisdp.github.io/devondonisdp/index.html,none,FALSE
Beechjet,Beechjet,assets/screencap/portfolio-img-beechjet.jpg,assets/preview/portfolio-preview-placeholder.png,none,Website for Los Angeles indie rock band,Website for Los Angeles indie rock band,React,client,creative portfolios,none,none,https://www.youtube.com/embed/NPkMnDA8v1k?si=zfoCWXY4n--q6xIQ&controls=0,none,https://camilapaleno.github.io/beechjet4000/,none,FALSE
Mariana,Mariana,assets/screencap/portfolio-img-marsy_psd.jpg,assets/preview/portfolio-preview-placeholder.png,none,Zine portfolio,A portfolio made for artist Mariana with Next.js.,"Next.js, Typescript",client,creative portfolios,https://camilapaleno.github.io/marsy.psd/,none,none,none,https://camilapaleno.github.io/marsy.psd/,none,FALSE
Sage Social,Sage Social,assets/screencap/portfolio-img-sage_social.jpg,assets/preview/portfolio-preview-placeholder.png,assets/screencap/portfolio-vid-sage_social.webm,Squarespace website for a marketing agency,A website made for a social media marketing agency in Los Angeles.,"Squarespace, CSS",client,studios,https://sagesocial.co,none,https://www.youtube.com/embed/jpCddu452zk?si=F3q1NcdO4iqXjOQQ&controls=0,none,none,sage-social-marketing,FALSE
Pull PR,Pull PR,assets/screencap/portfolio-img-pull_pr.jpg,assets/preview/portfolio-preview-placeholder.png,none,Squarespace website for a PR agency,Squarespace website for a PR agency,"Squarespace, CSS",client,studios,none,none,https://www.youtube.com/embed/jvXTjMalNnc?si=3SZcHC7Qn2vOwDDK&controls=0,none,none,none,FALSE
KD Photography,KD Photography,assets/screencap/portfolio-img-kd_photo.jpg,assets/preview/portfolio-preview-placeholder.png,none,Squarespace website for wedding photographers,Squarespace website for wedding photographers,"Squarespace, CSS",client,studios,https://kd.atsatt.com//,none,https://www.youtube.com/embed/v2doyzKK2RQ?si=DKsTX6U2arR3vPh5&controls=0,none,none,none,FALSE
Cafe Blue,Cafe Blue,assets/screencap/portfolio-img-cafe_blue.jpg,assets/preview/portfolio-preview-placeholder.png,none,"Website for a cafe in Junquillal, Costa Rica","Cafe Blue is the cafe attached to the boutique villas ""Blue Window"". Located minutes from the beach in Junquillal, Costa Rica.",React,client,hospitality,none,none,none,none,https://camilapaleno.github.io/cafe-blue,cafe-blue,FALSE
